index;nodeA;nodeB;cost;capa;type
1;0;8;0;1;0
2;1;8;0;1;0
3;1;10;0;1;0
4;1;11;0;1;0
5;1;12;0;1;0
6;1;13;0;1;0
7;1;14;0;1;0
8;1;15;0;1;0
9;2;8;0;1;0
10;2;10;0;1;0
11;2;12;0;1;0
12;3;8;0;1;0
13;3;10;0;1;0
14;3;11;0;1;0
15;3;13;0;1;0
16;3;14;0;1;0
17;3;15;0;1;0
18;4;8;0;1;0
19;4;11;0;1;0
20;4;12;0;1;0
21;4;13;0;1;0
22;5;9;0;1;0
23;5;13;0;1;0
24;5;14;0;1;0
25;6;8;0;1;0
26;6;9;0;1;0
27;6;12;0;1;0
28;6;13;0;1;0
29;6;14;0;1;0
30;6;15;0;1;0
31;7;9;0;1;0
32;7;11;0;1;0
33;7;13;0;1;0
34;7;14;0;1;0
35;7;15;0;1;0
