node;type;site;demand;Y;X;server
1;1;SOURCE1;0.044866563718006604;15;10;0
2;1;SOURCE2;0.00996724004190305;25;10;0
3;1;Barcelona;0.0005067171226778636;10;20;0
4;1;Belgrade;0.03938223989032547;20;20;0
5;1;Berlin;0.03803100189129072;30;20;0
6;1;Birmingham;0.05875124274017615;10;35;0
7;1;Bordeaux;0.030348264261311868;20;35;0
8;1;Brussels;0.04414525777637347;10;50;0
9;1;Budapest;0.059453109118403666;20;50;0
10;1;Copenhagen;0.020002442580784423;30;50;0
11;1;PUIT1;0.020002442580784423;15;60;0
12;1;PUIT2;0.020002442580784423;25;60;0
13;1;MASSY-PALAISEAU;0.030348264261311868;30;35;0
