index;orig;dest;nameOrig;nameDest;traf0-val;traf0
1;6;11;IPLSng;STTLng;7,010736095;7.010736095
2;6;3;IPLSng;CHINng;58,2275304;58.2275304
3;6;9;IPLSng;NYCMng;46,05768067;46.057680665
4;6;7;IPLSng;KSCYng;9,41133713;9.41133713
5;6;12;IPLSng;WASHng;35,03117678;35.031176775
6;6;4;IPLSng;DNVRng;21,94373765;21.94373765
7;6;1;IPLSng;ATLAM5;5,15886449;5.15886449
8;6;8;IPLSng;LOSAng;51,4716293;51.4716293
9;6;2;IPLSng;ATLAng;20,86714605;20.867146045
10;6;5;IPLSng;HSTNng;32,75006988;32.75006988
11;6;10;IPLSng;SNVAng;4,745664535;4.745664535
12;11;5;STTLng;HSTNng;19,40025531;19.40025531
13;11;9;STTLng;NYCMng;25,81840569;25.81840569
14;11;4;STTLng;DNVRng;13,31783561;13.317835605
15;11;3;STTLng;CHINng;52,9271743;52.9271743
16;11;10;STTLng;SNVAng;53,2529968;53.2529968
17;11;12;STTLng;WASHng;36,68573123;36.685731225
18;11;7;STTLng;KSCYng;29,54192043;29.54192043
19;11;2;STTLng;ATLAng;83,9950349;83.9950349
20;11;1;STTLng;ATLAM5;2,427295444;2.4272954435
21;11;8;STTLng;LOSAng;89,72240595;89.72240595
22;11;6;STTLng;IPLSng;52,6845999;52.6845999
23;3;1;CHINng;ATLAM5;7,28629831;7.28629831
24;3;4;CHINng;DNVRng;67,11740985;67.11740985
25;3;11;CHINng;STTLng;12,87153253;12.871532525
26;3;9;CHINng;NYCMng;61,9129877;61.9129877
27;3;2;CHINng;ATLAng;77,4747022;77.4747022
28;3;6;CHINng;IPLSng;34,61289476;34.612894755
29;3;7;CHINng;KSCYng;89,81167075;89.81167075
30;3;5;CHINng;HSTNng;683,2281945;683.2281945
31;3;10;CHINng;SNVAng;7,78568982;7.78568982
32;3;12;CHINng;WASHng;52,5735716;52.5735716
33;3;8;CHINng;LOSAng;756,7484955;756.7484955
34;1;7;ATLAM5;KSCYng;1,678121899;1.678121899
35;1;6;ATLAM5;IPLSng;1,533541669;1.533541669
36;1;10;ATLAM5;SNVAng;0,549799036;0.5497990355
37;1;12;ATLAM5;WASHng;13,21517057;13.21517057
38;1;3;ATLAM5;CHINng;7,01634004;7.01634004
39;1;8;ATLAM5;LOSAng;2,710628235;2.710628235
40;1;5;ATLAM5;HSTNng;3,691455622;3.691455622
41;1;11;ATLAM5;STTLng;0,510155919;0.510155919
42;1;2;ATLAM5;ATLAng;2,963964312;2.963964312
43;1;9;ATLAM5;NYCMng;2,939994049;2.939994049
44;1;4;ATLAM5;DNVRng;0,739930637;0.7399306365
45;5;11;HSTNng;STTLng;3,463283203;3.4632832025
46;5;8;HSTNng;LOSAng;33,57323592;33.57323592
47;5;1;HSTNng;ATLAM5;2,034810144;2.0348101435
48;5;6;HSTNng;IPLSng;8,907899005;8.907899005
49;5;4;HSTNng;DNVRng;3,442183855;3.442183855
50;5;12;HSTNng;WASHng;28,69075799;28.690757985
51;5;2;HSTNng;ATLAng;69,0930347;69.0930347
52;5;10;HSTNng;SNVAng;1,288742569;1.288742569
53;5;9;HSTNng;NYCMng;17,78026327;17.780263265
54;5;3;HSTNng;CHINng;26,01098916;26.010989155
55;5;7;HSTNng;KSCYng;5,017630215;5.017630215
56;8;7;LOSAng;KSCYng;5,9124412;5.9124412
57;8;9;LOSAng;NYCMng;25,47530436;25.475304355
58;8;11;LOSAng;STTLng;23,41828839;23.418288385
59;8;10;LOSAng;SNVAng;44,13541022;44.13541022
60;8;1;LOSAng;ATLAM5;2,497068741;2.497068741
61;8;6;LOSAng;IPLSng;30,25317027;30.25317027
62;8;5;LOSAng;HSTNng;408,7844477;408.78444765
63;8;3;LOSAng;CHINng;889,68189;889.68189
64;8;4;LOSAng;DNVRng;13,4841296;13.4841296
65;8;2;LOSAng;ATLAng;110,665858;110.66585795
66;8;12;LOSAng;WASHng;155,3455294;155.34552935
67;7;9;KSCYng;NYCMng;10,1185247;10.1185247
68;7;12;KSCYng;WASHng;11,99801599;11.99801599
69;7;11;KSCYng;STTLng;3,998079339;3.998079339
70;7;8;KSCYng;LOSAng;6,830388365;6.830388365
71;7;5;KSCYng;HSTNng;6,03456049;6.03456049
72;7;4;KSCYng;DNVRng;7,23690765;7.23690765
73;7;10;KSCYng;SNVAng;2,716504891;2.716504891
74;7;2;KSCYng;ATLAng;5,334919745;5.334919745
75;7;6;KSCYng;IPLSng;6,918964395;6.918964395
76;7;3;KSCYng;CHINng;17,82475216;17.82475216
77;7;1;KSCYng;ATLAM5;1,945854928;1.9458549275
78;9;10;NYCMng;SNVAng;13,06414763;13.064147625
79;9;8;NYCMng;LOSAng;70,10577745;70.10577745
80;9;3;NYCMng;CHINng;299,008045;299.00804495
81;9;7;NYCMng;KSCYng;13,07155886;13.071558855
82;9;2;NYCMng;ATLAng;37,68473462;37.68473462
83;9;1;NYCMng;ATLAM5;2,625438752;2.6254387515
84;9;11;NYCMng;STTLng;20,70756753;20.70756753
85;9;12;NYCMng;WASHng;98,10835695;98.10835695
86;9;5;NYCMng;HSTNng;73,3946855;73.3946855
87;9;6;NYCMng;IPLSng;20,46302519;20.463025185
88;9;4;NYCMng;DNVRng;21,98116969;21.981169685
89;10;9;SNVAng;NYCMng;13,13313465;13.13313465
90;10;4;SNVAng;DNVRng;11,62405726;11.624057255
91;10;3;SNVAng;CHINng;13,61021037;13.61021037
92;10;1;SNVAng;ATLAM5;1,328685412;1.3286854115
93;10;5;SNVAng;HSTNng;6,094801595;6.094801595
94;10;8;SNVAng;LOSAng;25,41777333;25.417773325
95;10;12;SNVAng;WASHng;9,62070909;9.62070909
96;10;6;SNVAng;IPLSng;8,209816225;8.209816225
97;10;7;SNVAng;KSCYng;4,635911006;4.6359110055
98;10;2;SNVAng;ATLAng;2,133230247;2.1332302465
99;10;11;SNVAng;STTLng;13,69869197;13.698691965
100;4;1;DNVRng;ATLAM5;3,290000765;3.2900007645
101;4;6;DNVRng;IPLSng;18,12838187;18.12838187
102;4;7;DNVRng;KSCYng;8,73463311;8.73463311
103;4;12;DNVRng;WASHng;22,49884559;22.49884559
104;4;3;DNVRng;CHINng;31,754837;31.754837
105;4;2;DNVRng;ATLAng;8,340580705;8.340580705
106;4;8;DNVRng;LOSAng;14,50043693;14.500436925
107;4;5;DNVRng;HSTNng;19,48369174;19.48369174
108;4;10;DNVRng;SNVAng;47,70375707;47.703757065
109;4;11;DNVRng;STTLng;13,00422062;13.00422062
110;4;9;DNVRng;NYCMng;11,36362056;11.363620555
111;12;9;WASHng;NYCMng;74,35968205;74.35968205
112;12;4;WASHng;DNVRng;29,16513823;29.165138225
113;12;7;WASHng;KSCYng;22,27165944;22.271659435
114;12;8;WASHng;LOSAng;79,4521271;79.4521271
115;12;6;WASHng;IPLSng;19,44414015;19.444140145
116;12;11;WASHng;STTLng;17,31080279;17.310802785
117;12;2;WASHng;ATLAng;57,0777581;57.0777581
118;12;5;WASHng;HSTNng;69,10793095;69.10793095
119;12;10;WASHng;SNVAng;14,64471777;14.64471777
120;12;1;WASHng;ATLAM5;4,583646071;4.583646071
121;12;3;WASHng;CHINng;89,6852681;89.6852681
122;2;9;ATLAng;NYCMng;21,91348286;21.913482855
123;2;12;ATLAng;WASHng;90,2458326;90.2458326
124;2;5;ATLAng;HSTNng;127,4887571;127.4887571
125;2;8;ATLAng;LOSAng;124,8453984;124.8453984
126;2;3;ATLAng;CHINng;12,4013496;12.4013496
127;2;6;ATLAng;IPLSng;23,88168508;23.88168508
128;2;11;ATLAng;STTLng;5,98138526;5.98138526
129;2;1;ATLAng;ATLAM5;5,57437806;5.57437806
130;2;10;ATLAng;SNVAng;4,123945001;4.123945001
131;2;4;ATLAng;DNVRng;6,08705792;6.08705792
132;2;7;ATLAng;KSCYng;5,60917618;5.60917618
