index;nodeA;nodeB;capa;weight;delay
1;1;2;200.0;555;0
2;2;1;200.0;555;0
3;2;5;3000.0;937;0
4;2;6;200.0;951;0
5;2;12;1800.0;473;0
6;3;6;9700.0;362;0
7;3;9;2000.0;246;0
8;4;7;7200.0;71;0
9;4;10;100.0;371;0
10;4;11;5400.0;261;0
11;5;2;2500.0;937;0
12;5;7;400.0;551;0
13;5;8;1800.0;504;0
14;6;2;200.0;951;0
15;6;3;6700.0;362;0
16;6;7;10000.0;870;0
17;7;4;5900.0;71;0
18;7;5;4500.0;551;0
19;7;6;6700.0;870;0
20;8;5;3200.0;504;0
21;8;10;5200.0;511;0
22;9;3;2800.0;246;0
23;9;12;2700.0;347;0
24;10;4;100.0;371;0
25;10;8;5100.0;511;0
26;10;11;5400.0;11;0
27;11;4;6900.0;261;0
28;11;10;5700.0;11;0
29;12;2;2500.0;473;0
30;12;9;1800.0;347;0
