index;nodeA;nodeB;capa;weight;delay
1;1;2;200.0;629;0
2;2;1;200.0;629;0
3;2;5;3700.0;769;0
4;2;6;400.0;333;0
5;2;12;2700.0;343;0
6;3;6;8800.0;396;0
7;3;9;500.0;731;0
8;4;7;2800.0;180;0
9;4;10;100.0;877;0
10;4;11;600.0;256;0
11;5;2;3100.0;769;0
12;5;7;6000.0;241;0
13;5;8;7000.0;61;0
14;6;2;900.0;333;0
15;6;3;5600.0;396;0
16;6;7;8900.0;681;0
17;7;4;1400.0;180;0
18;7;5;10000.0;241;0
19;7;6;5800.0;681;0
20;8;5;8200.0;61;0
21;8;10;700.0;241;0
22;9;3;1700.0;731;0
23;9;12;2100.0;75;0
24;10;4;100.0;877;0
25;10;8;500.0;241;0
26;10;11;100.0;588;0
27;11;4;2000.0;256;0
28;11;10;300.0;588;0
29;12;2;2900.0;343;0
30;12;9;1600.0;75;0
