index;nodeA;nodeB;capa;weight;delay
1;1;2;200.0;428;0
2;2;1;200.0;428;0
3;2;5;4000.0;844;0
4;2;6;400.0;854;0
5;2;12;2700.0;46;0
6;3;6;9500.0;329;0
7;3;9;800.0;762;0
8;4;7;2600.0;198;0
9;4;10;1000.0;68;0
10;4;11;100.0;952;0
11;5;2;3300.0;844;0
12;5;7;6100.0;57;0
13;5;8;6500.0;981;0
14;6;2;700.0;854;0
15;6;3;6100.0;329;0
16;6;7;9500.0;282;0
17;7;4;1500.0;198;0
18;7;5;10000.0;57;0
19;7;6;6200.0;282;0
20;8;5;8200.0;981;0
21;8;10;500.0;813;0
22;9;3;1900.0;762;0
23;9;12;2100.0;399;0
24;10;4;2200.0;68;0
25;10;8;600.0;813;0
26;10;11;700.0;786;0
27;11;4;100.0;952;0
28;11;10;2500.0;786;0
29;12;2;3000.0;46;0
30;12;9;1500.0;399;0
