index;nodeA;nodeB;capa;weight;delay
1;1;8;500.0;882;0
2;1;14;3500.0;296;0
3;1;15;4500.0;475;0
4;1;19;500.0;765;0
5;2;26;1600.0;71;0
6;2;31;300.0;455;0
7;2;36;1500.0;664;0
8;3;21;1300.0;39;0
9;3;22;2100.0;240;0
10;3;30;400.0;713;0
11;4;9;2000.0;551;0
12;4;31;400.0;1000;0
13;4;36;1900.0;7;0
14;5;10;1700.0;88;0
15;5;15;7600.0;30;0
16;5;24;1400.0;216;0
17;5;28;2700.0;75;0
18;5;35;4800.0;154;0
19;6;14;3300.0;73;0
20;6;19;2700.0;405;0
21;7;21;200.0;934;0
22;7;22;200.0;813;0
23;7;27;1000.0;686;0
24;8;12;100.0;952;0
25;8;27;600.0;871;0
26;8;1;500.0;882;0
27;9;17;1100.0;710;0
28;9;28;1400.0;825;0
29;9;4;2000.0;551;0
30;10;25;400.0;995;0
31;10;32;700.0;596;0
32;10;5;1700.0;88;0
33;11;14;300.0;617;0
34;11;19;200.0;915;0
35;12;13;2500.0;576;0
36;12;8;100.0;952;0
37;13;15;6700.0;157;0
38;13;24;2800.0;43;0
39;13;33;6400.0;181;0
40;13;12;2500.0;576;0
41;14;1;3500.0;296;0
42;14;6;3300.0;73;0
43;14;11;300.0;617;0
44;15;1;4500.0;475;0
45;15;5;7600.0;30;0
46;15;13;6700.0;157;0
47;16;25;200.0;709;0
48;16;32;300.0;196;0
49;16;35;700.0;483;0
50;17;35;3400.0;63;0
51;17;9;1100.0;710;0
52;18;19;2700.0;936;0
53;18;21;1800.0;279;0
54;18;30;1000.0;445;0
55;19;27;5200.0;285;0
56;19;1;500.0;765;0
57;19;6;2700.0;405;0
58;19;11;200.0;915;0
59;19;18;2700.0;936;0
60;20;22;1700.0;684;0
61;20;27;2000.0;630;0
62;20;37;3800.0;46;0
63;21;3;1300.0;39;0
64;21;7;200.0;934;0
65;21;18;1800.0;279;0
66;22;29;1000.0;932;0
67;22;3;2100.0;240;0
68;22;7;200.0;813;0
69;22;20;1700.0;684;0
70;23;24;1800.0;937;0
71;23;29;2000.0;883;0
72;23;37;2300.0;202;0
73;24;34;1000.0;836;0
74;24;5;1400.0;216;0
75;24;13;2800.0;43;0
76;24;23;1800.0;937;0
77;25;10;400.0;995;0
78;25;16;200.0;709;0
79;26;29;1300.0;719;0
80;26;2;1600.0;71;0
81;27;33;4100.0;314;0
82;27;7;1000.0;686;0
83;27;8;600.0;871;0
84;27;19;5200.0;285;0
85;27;20;2000.0;630;0
86;28;34;400.0;796;0
87;28;5;2700.0;75;0
88;28;9;1400.0;825;0
89;29;36;700.0;835;0
90;29;22;1000.0;932;0
91;29;23;2000.0;883;0
92;29;26;1300.0;719;0
93;30;3;400.0;713;0
94;30;18;1000.0;445;0
95;31;2;300.0;455;0
96;31;4;400.0;1000;0
97;32;10;700.0;596;0
98;32;16;300.0;196;0
99;33;37;2300.0;880;0
100;33;13;6400.0;181;0
101;33;27;4100.0;314;0
102;34;36;800.0;706;0
103;34;24;1000.0;836;0
104;34;28;400.0;796;0
105;35;5;4800.0;154;0
106;35;16;700.0;483;0
107;35;17;3400.0;63;0
108;36;2;1500.0;664;0
109;36;4;1900.0;7;0
110;36;29;700.0;835;0
111;36;34;800.0;706;0
112;37;20;3800.0;46;0
113;37;23;2300.0;202;0
114;37;33;2300.0;880;0
