index;nodeA;nodeB;capa;weight;delay
1;1;8;700.0;992;0
2;1;14;1800.0;425;0
3;1;15;2100.0;952;0
4;1;19;1000.0;936;0
5;2;26;100.0;899;0
6;2;31;1200.0;62;0
7;2;36;1700.0;97;0
8;3;21;1200.0;611;0
9;3;22;800.0;709;0
10;3;30;400.0;815;0
11;4;9;600.0;958;0
12;4;31;800.0;162;0
13;4;36;100.0;704;0
14;5;10;900.0;738;0
15;5;15;2600.0;402;0
16;5;24;7000.0;140;0
17;5;28;3500.0;329;0
18;5;35;6400.0;361;0
19;6;14;2000.0;635;0
20;6;19;4400.0;201;0
21;7;21;2300.0;200;0
22;7;22;100.0;535;0
23;7;27;3400.0;7;0
24;8;12;6600.0;338;0
25;8;27;6000.0;718;0
26;8;1;700.0;992;0
27;9;17;700.0;740;0
28;9;28;100.0;934;0
29;9;4;600.0;958;0
30;10;25;500.0;264;0
31;10;32;200.0;72;0
32;10;5;900.0;738;0
33;11;14;200.0;262;0
34;11;19;300.0;607;0
35;12;13;6600.0;178;0
36;12;8;6600.0;338;0
37;13;15;700.0;569;0
38;13;24;6300.0;429;0
39;13;33;900.0;788;0
40;13;12;6600.0;178;0
41;14;1;1800.0;425;0
42;14;6;2000.0;635;0
43;14;11;200.0;262;0
44;15;1;2100.0;952;0
45;15;5;2600.0;402;0
46;15;13;700.0;569;0
47;16;25;100.0;872;0
48;16;32;1100.0;343;0
49;16;35;1500.0;78;0
50;17;35;3600.0;140;0
51;17;9;700.0;740;0
52;18;19;1700.0;552;0
53;18;21;100.0;973;0
54;18;30;1000.0;760;0
55;19;27;7600.0;90;0
56;19;1;1000.0;936;0
57;19;6;4400.0;201;0
58;19;11;300.0;607;0
59;19;18;1700.0;552;0
60;20;22;3700.0;231;0
61;20;27;5100.0;236;0
62;20;37;1600.0;450;0
63;21;3;1200.0;611;0
64;21;7;2300.0;200;0
65;21;18;100.0;973;0
66;22;29;3600.0;668;0
67;22;3;800.0;709;0
68;22;7;100.0;535;0
69;22;20;3700.0;231;0
70;23;24;1400.0;900;0
71;23;29;500.0;856;0
72;23;37;1500.0;684;0
73;24;34;100.0;966;0
74;24;5;7000.0;140;0
75;24;13;6300.0;429;0
76;24;23;1400.0;900;0
77;25;10;500.0;264;0
78;25;16;100.0;872;0
79;26;29;2100.0;488;0
80;26;2;100.0;899;0
81;27;33;800.0;656;0
82;27;7;3400.0;7;0
83;27;8;6000.0;718;0
84;27;19;7600.0;90;0
85;27;20;5100.0;236;0
86;28;34;2900.0;456;0
87;28;5;3500.0;329;0
88;28;9;100.0;934;0
89;29;36;3400.0;85;0
90;29;22;3600.0;668;0
91;29;23;500.0;856;0
92;29;26;2100.0;488;0
93;30;3;400.0;815;0
94;30;18;1000.0;760;0
95;31;2;1200.0;62;0
96;31;4;800.0;162;0
97;32;10;200.0;72;0
98;32;16;1100.0;343;0
99;33;37;300.0;560;0
100;33;13;900.0;788;0
101;33;27;800.0;656;0
102;34;36;2700.0;587;0
103;34;24;100.0;966;0
104;34;28;2900.0;456;0
105;35;5;6400.0;361;0
106;35;16;1500.0;78;0
107;35;17;3600.0;140;0
108;36;2;1700.0;97;0
109;36;4;100.0;704;0
110;36;29;3400.0;85;0
111;36;34;2700.0;587;0
112;37;20;1600.0;450;0
113;37;23;1500.0;684;0
114;37;33;300.0;560;0
