nombre noeud gauche;nombre noeud droit;MCF;sparsest cut opti;sparsest cut value opti;sparsest cut random;sparsest cut value random
2;2;0.66666666;[[0, 2]];0.6666666666666666;[[0, 2]];0.6666666666666666
2;3;0.75;[[0, 2, 4]];0.75;[[0, 1, 2, 3]];2.0
2;4;0.8;[[0, 2, 4]];0.8;[[1, 3, 5]];0.8
2;5;0.83333335;[[1, 3, 5]];0.8333333333333334;[[0, 2, 4, 6]];0.8333333333333334
3;2;0.75;[[2], [2, 4], [2, 4, 0]];1.0;[[2], [2, 4], [2, 4, 0]];1.0
3;3;0.8999999999999999;[[2, 5]];1.3333333333333333;[[0, 1, 3, 4]];1.3333333333333333
3;4;0.999999996;[[2, 6, 0, 1, 3, 4]];1.5;[[1, 6, 0, 2, 3, 4]];1.5
3;5;1.071428565;[[2, 7, 0, 1, 3, 4, 5]];1.5;[[1, 6]];1.5
4;2;0.8;[[0, 2, 5]];0.8;[[0]];1.0
4;3;1.0000000199999999;[[0, 2, 5]];1.0;[[1, 3, 4, 6]];1.0
4;4;1.1428571200000002;[[0, 2, 4, 6]];1.1428571428571428;[[0, 2, 4, 6]];1.1428571428571428
4;5;1.25;[[1, 3, 5, 7]];1.25;[[0]];2.5
5;2;0.83333333;[[0], [0, 3], [0, 3, 5], [0, 3, 5, 6, 1], [0, 3, 5, 6, 1, 2]];1.0;[[0]];1.0
5;3;1.071428565;[[4]];1.5;[[0]];1.5
5;4;1.25;[[4]];2.0;[[4]];2.0
5;5;1.3888889;[[4], [4, 9, 0, 1, 2, 3, 5, 6, 7]];2.5;[[2, 4, 6, 8]];1.5
