node;type;site;demand;Y;X;server
1;1;Amsterdam;0.044866563718006604;52.35;4.9;0
2;1;Athens;0.00996724004190305;38.0;23.73;0
3;1;Barcelona;0.0005067171226778636;41.37;2.18;0
4;1;Belgrade;0.03938223989032547;44.83;20.5;0
5;1;Berlin;0.03803100189129072;52.52;13.4;0
6;1;Birmingham;0.05875124274017615;52.47;-1.88;0
7;1;Bordeaux;0.030348264261311868;44.85;-0.57;0
8;1;Brussels;0.04414525777637347;50.83;4.35;0
9;1;Budapest;0.059453109118403666;47.5;19.08;0
10;1;Copenhagen;0.020002442580784423;55.72;12.57;0
